gender,degree,born,Family_income,nation_race,nation_welfare,Assistance_to_the_poor,social_security,natcrime,natdrug,Immigration,relig,religinf,opsex,homo_marriage,abortion,age_group,race
Female,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Not important at all,Strongly agree,Yes,30-39 years old,Other
Female,Graduate,Yes,NA,About right,About right,NA,About right,About right,2,NA,Christian,Disagree,NA,NA,NA,30-39 years old,Other
Female,High School,Yes,"$170,000 or over",About right,About right,NA,About right,Too little,2,Agree,Christian,Strongly disagree,NA,NA,NA,70-79 years old,White
Female,Associate College,Yes,"$60,000 ~ $89,999",Too little,Too little,NA,Too little,Too little,1,Disagree,Catholic,Neither,NA,Strongly agree,NA,30-39 years old,White
Male,High School,NA,"$10,000 ~ $19,999",NA,NA,About right,Too little,NA,NA,NA,None,Neither,Not very important,Agree,Yes,40-49 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",Too much,Too much,NA,Too little,Too little,1,Agree,Christian,Strongly disagree,NA,NA,NA,60-69 years old,White
Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,Too much,Too much,NA,NA,Agree,Christian,Neither,NA,Agree,No,50-59 years old,White
Female,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too much,NA,Too little,Too little,1,NA,Christian,Disagree,Not important at all,Agree,NA,50-59 years old,Black
Female,High School,Yes,"$90,000 ~ $129,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Not important at all,Strongly agree,No,30-39 years old,Black
Male,High School,Yes,NA,NA,NA,Too little,Too little,NA,NA,NA,Christian,NA,NA,Neither,Yes,50-59 years old,Other
Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,NA,None,Disagree,Not very important,Strongly agree,Yes,50-59 years old,White
Male,Associate College,Yes,"$20,000 ~ $39,999",Too little,Too little,NA,Too little,About right,1,NA,Christian,Neither,Not important at all,Strongly agree,NA,40-49 years old,Black
Male,Graduate,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,Catholic,Disagree,Not very important,NA,NA,70-79 years old,White
Male,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,About right,Too little,NA,NA,NA,Catholic,Disagree,Not important at all,Strongly agree,Yes,60-69 years old,White
Female,Associate College,Yes,"$10,000 ~ $19,999",Too little,About right,NA,Too little,Too little,1,Strongly agree,Jewish,Agree,NA,NA,NA,70-79 years old,White
Female,Less than high school,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,Agree,Christian,Strongly disagree,NA,Neither,No,70-79 years old,White
Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,Too little,Too little,NA,NA,Agree,Christian,NA,NA,Strongly disagree,No,40-49 years old,White
Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,Too little,About right,NA,NA,NA,None,Strongly agree,Fairly important,NA,NA,30-39 years old,White
Male,High School,Yes,"$90,000 ~ $129,999",About right,About right,NA,Too little,Too little,2,Agree,Christian,Disagree,NA,Agree,NA,70-79 years old,White
Female,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,NA,Too little,Too little,1,Disagree,None,Strongly agree,NA,Agree,NA,40-49 years old,White
Male,Graduate,Yes,"$170,000 or over",NA,NA,Too much,About right,NA,NA,NA,None,Neither,Not important at all,NA,NA,70-79 years old,White
Female,Bachelors,No,"$40,000 ~ $59,999",Too little,About right,NA,About right,Too little,1,Neither,Christian,Neither,NA,NA,NA,60-69 years old,Asian
Male,Bachelors,Yes,"$60,000 ~ $89,999",About right,Too little,NA,About right,Too much,1,NA,None,Strongly agree,Fairly important,Strongly agree,NA,40-49 years old,White
Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Strongly disagree,NA,Strongly agree,No,40-49 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Not important at all,Neither,Yes,30-39 years old,Black
Male,Graduate,Yes,"$130,000 ~ $169,999",Too little,About right,NA,About right,Too little,2,Disagree,Catholic,Disagree,NA,Strongly agree,NA,70-79 years old,White
Female,High School,Yes,NA,NA,Too much,NA,Too little,Too little,1,Neither,Catholic,Neither,NA,NA,NA,80-89 years old,White
Male,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,NA,Too little,Too little,1,NA,Christian,Disagree,Not very important,Strongly agree,NA,20-29 years old,Black
Female,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,NA,About right,Too little,NA,Neither,None,Neither,NA,NA,NA,20-29 years old,Black
Female,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,About right,Too little,NA,NA,NA,Christian,Disagree,Not very important,Strongly disagree,No,50-59 years old,Black
Female,Associate College,Yes,"$10,000 ~ $19,999",Too little,Too little,NA,Too little,About right,2,Agree,Christian,Disagree,NA,NA,NA,50-59 years old,Black
Male,Associate College,Yes,"$90,000 ~ $129,999",Too little,Too little,NA,Too little,Too much,2,NA,None,Strongly agree,Not very important,Strongly agree,NA,30-39 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,None,Strongly disagree,Not important at all,NA,NA,30-39 years old,Other
Female,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,Too little,About right,NA,NA,NA,None,NA,NA,NA,NA,30-39 years old,Black
Male,Bachelors,No,"$90,000 ~ $129,999",NA,NA,About right,About right,NA,NA,NA,Christian,NA,NA,Neither,Yes,40-49 years old,White
Male,Bachelors,Yes,"$170,000 or over",NA,NA,Too little,Too little,NA,NA,NA,Catholic,Agree,Not important at all,NA,NA,80-89 years old,White
Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,About right,About right,NA,NA,NA,None,Neither,Not important at all,Strongly agree,Yes,70-79 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",About right,Too much,NA,Too little,Too little,1,Agree,Christian,Disagree,NA,Agree,NA,70-79 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",About right,Too much,NA,Too little,Too little,1,NA,Christian,Disagree,Not important at all,Neither,NA,70-79 years old,White
Female,High School,Yes,"Under $10,000",NA,NA,Too little,About right,NA,NA,NA,None,Agree,Not very important,Strongly agree,Yes,20-29 years old,Other
Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,About right,About right,NA,NA,NA,Christian,NA,NA,Strongly agree,No,70-79 years old,White
Male,High School,Yes,"$130,000 ~ $169,999",NA,NA,Too little,Too little,NA,NA,NA,Catholic,Disagree,Very important,NA,NA,70-79 years old,White
Female,Associate College,Yes,"$20,000 ~ $39,999",Too little,Too little,NA,Too little,About right,1,Disagree,Catholic,Neither,NA,NA,NA,60-69 years old,White
Female,Associate College,Yes,"Under $10,000",Too little,About right,NA,Too little,Too little,2,Strongly agree,None,Strongly agree,NA,NA,NA,NA,Black
Female,Associate College,Yes,"$10,000 ~ $19,999",Too little,About right,NA,About right,About right,1,Disagree,None,Agree,NA,Strongly agree,NA,20-29 years old,White
Male,High School,Yes,"$60,000 ~ $89,999",Too much,About right,NA,Too little,Too little,1,NA,Christian,Disagree,Not important at all,Neither,NA,50-59 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",About right,Too much,NA,Too little,Too little,1,NA,Christian,NA,NA,Strongly disagree,NA,50-59 years old,White
Female,High School,Yes,"Under $10,000",NA,NA,Too little,Too little,NA,NA,NA,Christian,NA,NA,NA,NA,30-39 years old,White
Male,Bachelors,Yes,"$60,000 ~ $89,999",Too little,About right,NA,About right,Too little,2,Disagree,Catholic,Strongly agree,NA,Strongly agree,NA,30-39 years old,White
Female,Graduate,Yes,"$40,000 ~ $59,999",Too little,About right,NA,Too little,Too little,1,Disagree,Christian,Neither,NA,Strongly agree,NA,40-49 years old,Black
Female,Graduate,Yes,"Under $10,000",Too little,Too little,NA,Too little,About right,1,Agree,Christian,Strongly disagree,NA,NA,NA,40-49 years old,Black
Other,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,NA,Too little,Too little,1,NA,Christian,Neither,Not important at all,Disagree,NA,30-39 years old,Black
Male,High School,Yes,"$10,000 ~ $19,999",Too much,Too little,NA,Too little,About right,1,NA,None,Disagree,Fairly important,Strongly disagree,NA,30-39 years old,Other
Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,NA,Too little,Too little,1,Neither,Catholic,Neither,NA,Neither,NA,60-69 years old,Hispanic
Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too much,NA,Too little,Too little,1,Neither,Christian,Neither,NA,NA,NA,60-69 years old,Black
Female,Bachelors,Yes,"Under $10,000",NA,NA,NA,NA,NA,NA,NA,Christian,NA,Essential,NA,NA,80-89 years old,Black
Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,Too much,Too little,NA,NA,Strongly agree,Christian,Strongly disagree,NA,Disagree,No,80-89 years old,White
Male,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Not very important,NA,NA,70-79 years old,White
Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,About right,Too much,NA,NA,NA,Catholic,Strongly disagree,Not important at all,NA,NA,60-69 years old,White
Female,Graduate,Yes,"Under $10,000",Too little,About right,NA,Too much,Too little,1,NA,Hinduism,Neither,Fairly important,Strongly agree,NA,20-29 years old,Asian
Female,Graduate,Yes,"$170,000 or over",Too little,Too little,NA,Too little,Too little,1,NA,None,Strongly agree,Not very important,Strongly agree,NA,50-59 years old,White
NA,Less than high school,NA,Refused,About right,Too much,NA,Too little,Too little,1,NA,NA,NA,NA,NA,NA,NA,White
Male,High School,No,"$60,000 ~ $89,999",NA,NA,About right,Too little,NA,NA,Agree,Other,Strongly disagree,NA,Agree,No,30-39 years old,White
Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,About right,Too little,NA,NA,NA,Christian,Disagree,Not very important,Strongly agree,Yes,60-69 years old,White
Female,Less than high school,Yes,"$10,000 ~ $19,999",About right,Too much,NA,Too little,Too little,2,Agree,Christian,Strongly disagree,NA,NA,NA,50-59 years old,White
Male,High School,Yes,"$40,000 ~ $59,999",About right,About right,NA,Too little,Too little,3,Agree,Christian,Agree,NA,NA,NA,60-69 years old,White
Male,High School,No,"$40,000 ~ $59,999",Too little,Too little,NA,Too little,Too little,1,NA,Christian,Neither,Very important,Agree,NA,40-49 years old,Black
Female,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,Too little,About right,NA,NA,Neither,Christian,Neither,NA,Neither,No,50-59 years old,Black
Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,Disagree,Christian,Disagree,NA,Strongly agree,Yes,NA,White
Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,About right,About right,NA,NA,NA,Christian,Strongly disagree,Not very important,NA,NA,70-79 years old,White
Female,High School,Yes,Refused,About right,Too much,NA,About right,Too little,2,Disagree,Christian,Disagree,NA,Strongly disagree,NA,NA,White
Female,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Not very important,Strongly agree,No,40-49 years old,White
Female,Associate College,Yes,"$20,000 ~ $39,999",Too little,Too little,NA,About right,Too little,1,Agree,Christian,Neither,NA,Strongly agree,NA,20-29 years old,White
Male,High School,Yes,Refused,NA,Too much,NA,Too little,Too little,NA,Strongly agree,Christian,Strongly disagree,NA,NA,NA,80-89 years old,White
Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Strongly agree,Not important at all,NA,NA,30-39 years old,White
Female,Associate College,Yes,"$60,000 ~ $89,999",Too much,Too much,NA,Too little,About right,3,Agree,Christian,Neither,NA,Neither,NA,40-49 years old,White
Male,Associate College,Yes,NA,Too little,About right,NA,Too little,Too much,2,Disagree,Christian,Neither,NA,Agree,NA,40-49 years old,White
Female,High School,Yes,"Under $10,000",NA,NA,Too little,Too little,NA,NA,NA,Christian,Disagree,Not important at all,NA,NA,40-49 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,NA,About right,Too little,1,NA,Christian,Neither,Fairly important,Strongly agree,NA,70-79 years old,White
Female,Less than high school,Yes,"$10,000 ~ $19,999",NA,NA,Too little,About right,NA,NA,Neither,None,Strongly agree,NA,Strongly agree,Yes,30-39 years old,White
Female,High School,Yes,"$130,000 ~ $169,999",NA,NA,Too little,Too little,NA,NA,NA,None,Neither,Fairly important,NA,NA,40-49 years old,Black
Male,High School,Yes,NA,NA,NA,Too little,About right,NA,NA,NA,NA,NA,Not important at all,NA,NA,NA,White
Female,Bachelors,Yes,"$90,000 ~ $129,999",About right,Too much,NA,Too little,Too little,2,Neither,Christian,NA,NA,NA,NA,40-49 years old,White
Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,Too little,Too little,NA,NA,Neither,Christian,Neither,NA,Strongly agree,No,20-29 years old,White
Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too much,NA,Too little,About right,1,NA,Catholic,Strongly disagree,Not very important,Neither,NA,70-79 years old,White
Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,Too little,Too little,NA,NA,NA,None,NA,Not important at all,Strongly agree,No,30-39 years old,White
Male,Graduate,Yes,"$170,000 or over",NA,NA,Too little,About right,NA,NA,NA,Christian,Agree,Fairly important,NA,NA,60-69 years old,White
Male,Associate College,Yes,"$10,000 ~ $19,999",About right,About right,NA,About right,Too little,1,Agree,Other,Strongly disagree,NA,Strongly disagree,NA,50-59 years old,White
NA,Less than high school,NA,Refused,NA,NA,About right,Too little,NA,NA,NA,NA,NA,NA,NA,No,NA,Other
Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,Disagree,None,Neither,NA,Strongly agree,Yes,50-59 years old,White
NA,High School,Yes,NA,NA,NA,Too little,Too little,NA,NA,NA,Catholic,Neither,Not very important,NA,NA,30-39 years old,Hispanic
Male,Less than high school,Yes,"$10,000 ~ $19,999",NA,NA,Too little,About right,NA,NA,NA,Christian,Neither,NA,NA,NA,70-79 years old,White
Female,High School,Yes,"$10,000 ~ $19,999",NA,Too little,NA,Too little,Too little,1,Disagree,Catholic,Neither,NA,NA,NA,50-59 years old,White
Male,Graduate,Yes,"$40,000 ~ $59,999",About right,Too much,NA,About right,About right,1,Disagree,Christian,Neither,NA,NA,NA,40-49 years old,White
Male,Associate College,Yes,"$130,000 ~ $169,999",NA,NA,Too little,About right,NA,NA,NA,None,Agree,Not important at all,Strongly agree,Yes,40-49 years old,White
Male,High School,Yes,"$10,000 ~ $19,999",Too little,About right,NA,Too little,Too little,1,NA,Christian,Agree,Fairly important,Strongly agree,NA,60-69 years old,White
Female,Bachelors,Yes,"$10,000 ~ $19,999",NA,NA,Too little,Too little,NA,NA,NA,None,Strongly agree,Fairly important,NA,NA,20-29 years old,White
Male,Graduate,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,None,Agree,Not very important,Strongly agree,Yes,30-39 years old,Other
Male,Graduate,Yes,"$170,000 or over",NA,NA,Too little,Too little,NA,NA,Disagree,None,Agree,NA,Strongly agree,Yes,40-49 years old,White
Female,High School,Yes,"$130,000 ~ $169,999",NA,NA,Too little,About right,NA,NA,NA,Catholic,Neither,Fairly important,NA,NA,60-69 years old,White
Female,High School,Yes,"$10,000 ~ $19,999",Too little,Too little,NA,Too much,Too much,1,NA,None,NA,Not very important,Strongly agree,NA,20-29 years old,White
Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,Too much,About right,NA,NA,NA,Catholic,Disagree,Not important at all,NA,NA,70-79 years old,White
Male,High School,Yes,NA,NA,NA,Too little,Too little,NA,NA,NA,None,Neither,NA,Agree,Yes,20-29 years old,White
Male,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,None,Strongly agree,Fairly important,Strongly agree,Yes,60-69 years old,White
Male,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,Too much,Too little,NA,NA,NA,Christian,Neither,Not important at all,NA,NA,60-69 years old,White
Male,High School,Yes,"$40,000 ~ $59,999",Too much,About right,NA,About right,Too little,1,Disagree,Christian,NA,NA,Agree,NA,20-29 years old,White
Female,Associate College,Yes,"$10,000 ~ $19,999",Too little,About right,NA,Too little,About right,1,NA,Christian,Neither,Essential,Strongly agree,NA,20-29 years old,White
Male,High School,Yes,NA,About right,Too much,NA,About right,About right,2,Agree,Catholic,Strongly disagree,NA,NA,NA,20-29 years old,White
Female,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,Too little,About right,NA,NA,NA,Christian,Disagree,Fairly important,Strongly agree,Yes,80-89 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",Too little,About right,NA,Too little,Too little,1,Neither,None,Neither,NA,Strongly agree,NA,70-79 years old,White
Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,Too little,About right,NA,NA,Strongly disagree,None,Strongly disagree,NA,Strongly agree,Yes,30-39 years old,White
Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,About right,About right,NA,NA,NA,Catholic,Disagree,Not very important,NA,NA,60-69 years old,Other
Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Strongly disagree,Not important at all,Neither,No,70-79 years old,White
Male,High School,Yes,"$20,000 ~ $39,999",Too much,Too much,NA,Too much,Too much,3,NA,Catholic,Strongly disagree,Not important at all,Neither,NA,30-39 years old,White
Male,Graduate,Yes,"$170,000 or over",About right,Too much,NA,About right,Too little,2,Neither,Catholic,Disagree,NA,Agree,NA,50-59 years old,White
Male,High School,Yes,"$60,000 ~ $89,999",About right,Too little,NA,Too little,Too little,2,NA,None,NA,NA,Neither,NA,50-59 years old,White
Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,Too little,About right,NA,NA,NA,Christian,Disagree,Fairly important,Agree,No,80-89 years old,White
Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,Neither,Other,Neither,NA,Strongly agree,No,40-49 years old,White
Male,Bachelors,Yes,"$60,000 ~ $89,999",Too much,Too much,NA,Too much,Too much,3,Agree,Catholic,Disagree,NA,Agree,NA,20-29 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,NA,About right,Too little,1,NA,Catholic,Disagree,Not very important,Strongly agree,NA,60-69 years old,White
Female,High School,Yes,"$10,000 ~ $19,999",Too little,NA,NA,Too little,Too little,1,NA,Christian,NA,Not important at all,Strongly disagree,NA,40-49 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,About right,Too little,NA,NA,NA,Catholic,Strongly agree,Not important at all,NA,NA,60-69 years old,White
Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,Too little,Too little,NA,NA,NA,Catholic,Neither,Not very important,NA,NA,40-49 years old,White
Male,Graduate,Yes,"$60,000 ~ $89,999",Too little,About right,NA,Too little,Too little,1,Neither,Christian,Disagree,NA,NA,NA,70-79 years old,White
Female,High School,Yes,"$60,000 ~ $89,999",Too much,Too much,NA,Too little,Too little,2,NA,Christian,Neither,Not very important,Neither,NA,60-69 years old,White
Male,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,NA,Too little,About right,1,NA,Christian,Disagree,Not very important,Strongly agree,NA,60-69 years old,White
Male,High School,Yes,"$40,000 ~ $59,999",Too little,About right,NA,About right,Too little,2,Neither,Christian,Disagree,NA,Strongly disagree,NA,70-79 years old,White
Male,High School,Yes,"$60,000 ~ $89,999",Too little,About right,NA,Too little,Too little,1,Disagree,Catholic,Disagree,NA,NA,NA,60-69 years old,White
Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Disagree,NA,NA,NA,80-89 years old,White
Female,Less than high school,Yes,"$170,000 or over",About right,Too much,NA,Too little,Too little,1,NA,Christian,NA,NA,Strongly disagree,NA,50-59 years old,White
NA,Less than high school,NA,Refused,Too little,Too much,NA,Too little,Too little,1,NA,NA,NA,NA,Agree,NA,NA,White
Female,Associate College,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,None,Agree,Very important,NA,NA,80-89 years old,Black
Female,Associate College,Yes,"$60,000 ~ $89,999",About right,Too little,NA,Too little,Too little,1,Agree,Christian,Disagree,NA,Agree,NA,60-69 years old,White
Male,High School,Yes,"$60,000 ~ $89,999",Too much,Too much,NA,Too much,Too little,3,Agree,None,Neither,NA,NA,NA,30-39 years old,White
Male,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,Too little,About right,NA,NA,NA,Catholic,Disagree,Not very important,Disagree,No,80-89 years old,White
Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too much,NA,About right,About right,2,Neither,None,NA,NA,NA,NA,20-29 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,About right,NA,NA,NA,Christian,Disagree,Not important at all,Agree,No,80-89 years old,White
Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,About right,Too little,NA,NA,Agree,Christian,Disagree,NA,Neither,Yes,60-69 years old,White
Female,High School,Yes,"$10,000 ~ $19,999",Too little,About right,NA,Too little,Too little,1,NA,Christian,Neither,Very important,Agree,NA,70-79 years old,White
Male,High School,Yes,"$10,000 ~ $19,999",NA,NA,Too little,Too little,NA,NA,Agree,Christian,Strongly disagree,NA,Strongly disagree,No,70-79 years old,White
Male,High School,Yes,"$170,000 or over",About right,Too much,NA,Too much,About right,2,NA,Catholic,Neither,Not important at all,Neither,NA,30-39 years old,White
Male,Graduate,Yes,"$170,000 or over",NA,NA,Too little,Too little,NA,NA,Disagree,Catholic,Strongly agree,NA,Strongly agree,Yes,50-59 years old,White
Female,High School,Yes,"$40,000 ~ $59,999",About right,About right,NA,Too little,Too little,2,NA,Catholic,NA,NA,Neither,NA,70-79 years old,White
Female,High School,Yes,"$10,000 ~ $19,999",Too little,NA,NA,Too little,Too little,1,Strongly disagree,None,Disagree,NA,Strongly agree,NA,80-89 years old,White
Female,High School,NA,"$90,000 ~ $129,999",About right,About right,NA,About right,Too little,1,Agree,NA,Neither,NA,NA,NA,30-39 years old,White
Female,High School,Yes,"$20,000 ~ $39,999",Too little,About right,NA,About right,About right,1,NA,Christian,Neither,Fairly important,Strongly agree,NA,30-39 years old,White
Female,High School,No,"$10,000 ~ $19,999",NA,NA,Too little,About right,NA,NA,NA,None,Neither,Fairly important,Strongly agree,No,30-39 years old,White
Male,Associate College,Yes,"$10,000 ~ $19,999",NA,NA,Too little,Too little,NA,NA,Neither,Catholic,Neither,NA,Strongly agree,No,20-29 years old,Hispanic
Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,None,Strongly agree,Not important at all,NA,NA,20-29 years old,White
Female,Bachelors,No,"$40,000 ~ $59,999",About right,Too much,NA,About right,Too much,1,Disagree,Christian,Disagree,NA,NA,NA,50-59 years old,Hispanic
Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,About right,Too little,NA,NA,Agree,Catholic,Disagree,NA,Neither,No,60-69 years old,White
Female,High School,No,"$20,000 ~ $39,999",Too little,Too little,NA,Too little,Too little,2,NA,Catholic,Disagree,Not important at all,Agree,NA,40-49 years old,White
Female,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,About right,Too little,NA,NA,NA,Christian,Strongly disagree,Essential,Strongly disagree,No,30-39 years old,White
Male,High School,No,NA,About right,About right,NA,About right,Too little,2,Agree,Catholic,Disagree,NA,NA,NA,70-79 years old,White
Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,NA,NA,NA,NA,50-59 years old,White
Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,Strongly agree,Christian,Neither,NA,Strongly disagree,No,50-59 years old,American Native
Female,Associate College,Yes,"Under $10,000",Too little,Too little,NA,Too little,Too little,2,Neither,Catholic,Neither,NA,Neither,NA,20-29 years old,White
Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,About right,About right,NA,NA,NA,Christian,NA,NA,Disagree,No,50-59 years old,White
NA,Less than high school,NA,Refused,About right,Too little,NA,Too little,Too little,1,NA,NA,NA,NA,Strongly agree,NA,NA,White
Male,Graduate,Yes,NA,About right,Too much,NA,Too little,Too little,1,Neither,Christian,Strongly agree,NA,NA,NA,50-59 years old,White
Male,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,About right,About right,NA,NA,Strongly disagree,None,Neither,NA,Strongly agree,Yes,50-59 years old,White
Transgender,Graduate,Yes,"$40,000 ~ $59,999",About right,About right,NA,About right,Too much,2,NA,Other,Agree,Not important at all,Strongly agree,NA,60-69 years old,White
Male,Bachelors,Yes,"Under $10,000",About right,Too little,NA,About right,About right,1,NA,None,Agree,Not very important,Strongly agree,NA,30-39 years old,White
Male,Graduate,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Christian,Neither,Very important,NA,NA,20-29 years old,Other
Female,Bachelors,No,"$40,000 ~ $59,999",NA,NA,About right,Too much,NA,NA,NA,Catholic,NA,NA,Strongly disagree,No,20-29 years old,White
Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,Too little,Too little,NA,NA,Strongly agree,Christian,Strongly disagree,NA,Agree,Yes,60-69 years old,White
Female,Associate College,Yes,"$90,000 ~ $129,999",NA,NA,Too much,About right,NA,NA,NA,Christian,Agree,Very important,NA,NA,50-59 years old,Black
Male,Less than high school,Yes,"Under $10,000",NA,NA,Too little,Too little,NA,NA,NA,Other,Disagree,Not important at all,NA,NA,20-29 years old,White
Male,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,Too much,Too little,NA,NA,Strongly agree,Catholic,Strongly disagree,NA,Strongly agree,No,60-69 years old,White
Male,Bachelors,No,"$20,000 ~ $39,999",About right,About right,NA,Too little,Too little,2,Neither,None,Neither,NA,NA,NA,70-79 years old,Asian
Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,Too little,Too little,NA,NA,NA,Catholic,Disagree,Not important at all,Agree,No,60-69 years old,White
Male,Graduate,Yes,"Under $10,000",Too little,Too little,NA,Too little,Too little,1,NA,Catholic,Strongly disagree,NA,NA,NA,NA,American Native
Female,Graduate,No,"$90,000 ~ $129,999",Too much,Too little,NA,About right,About right,2,NA,Catholic,Strongly disagree,Very important,Strongly disagree,NA,20-29 years old,White
Female,Graduate,Yes,"$130,000 ~ $169,999",About right,About right,NA,Too little,About right,2,NA,None,Neither,Fairly important,Agree,NA,50-59 years old,White
Male,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,NA,About right,About right,2,Strongly disagree,None,Neither,NA,Strongly agree,NA,70-79 years old,White
Male,Bachelors,Yes,"$130,000 ~ $169,999",Too much,Too much,NA,About right,Too little,2,Agree,Christian,Disagree,NA,Disagree,NA,70-79 years old,White
Female,Graduate,Yes,"$170,000 or over",NA,NA,Too little,Too little,NA,NA,Strongly disagree,Christian,Strongly agree,NA,Strongly agree,Yes,50-59 years old,White
Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,Too little,About right,NA,NA,Strongly disagree,Christian,Neither,NA,Strongly agree,Yes,30-39 years old,White
Female,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,NA,About right,About right,1,NA,Catholic,Agree,Fairly important,Strongly agree,NA,70-79 years old,White
Male,High School,Yes,NA,NA,NA,Too little,About right,NA,NA,NA,None,Strongly agree,Not very important,NA,NA,30-39 years old,White
Male,Bachelors,No,NA,Too little,Too much,NA,Too little,Too little,1,Agree,Catholic,Neither,NA,NA,NA,40-49 years old,Asian
